,Postcode,latitude,longitude,Straat,Netnummer,Postcodenummer,Buurt,Wijk,Plaats,Gemeente,Provincie,Straten
0,4811 CA,51.5946317003,4.7885515477519,"
Ceresstraat 1 - 47 

",076,4811,Station,Breda Centrum,Breda,Breda,Noord-Brabant,
0,9715 BT,53.2289473923,6.5620397852444,"
Riouwstraat 21 - 41 

",050,9715,Indische buurt,Oud-Noord,Groningen,Groningen,Groningen,
0,1078 CE,52.34735288642,4.9000724389751,"
IJselstraat 71 - 85 

",020,1078,IJselbuurt West,IJselbuurt,Amsterdam,Amsterdam,Noord-Holland,
0,2312 RK,52.161821209741,4.4992663273752,"
Oude Singel 240 - 366 

",071,2312,Noordvest,Binnenstad-Noord,Leiden,Leiden,Zuid-Holland,
0,5611 EK,51.436664866736,5.4803051684457,"
Begijnenhof 1 - 35 

",040,5611,Binnenstad,Wijk 11 Stadsdeel Centrum,Eindhoven,Eindhoven,Noord-Brabant,
0,6413 MA,50.914457738431,5.947753138732,"
Fossielenerf 2 - 96 

",045,6413,Groot Rennemig,Wijk 24 Rennemig-Beersdal,Heerlen,Heerlen,Limburg,
0,3543 EN,52.101130891238,5.0459817513431,"
Ella Fitzgeraldplein 1 - 1005 

",030,3543,Terwijde-Oost,Wijk 09 Leidsche Rijn,Utrecht,Utrecht,Utrecht,
0,6711 GZ,52.044337851501,5.6694113858924,"
Marktstraat 189 - 255 

",0318,6711,Centrum Ede,Ede-Oost,Ede,Ede,Gelderland,
0,3037 XK,51.934709488548,4.4710510409166,"
Schieveenstraat 31 - 51 

",010,3037,Liskwartier,Noord,Rotterdam,Rotterdam,Zuid-Holland,
0,4811 TP,51.587683584128,4.769504398904,"
Haagdijk 41 - 99 

",076,4811,Schorsmolen,Breda Centrum,Breda,Breda,Noord-Brabant,
0,2431 AE,52.164733467288,4.8281711607365,"
Simon van Capelweg 109 - 205 

",0172,2431,Noorden (gedeeltelijk),Wijk 00,Noorden,Nieuwkoop,Zuid-Holland,
0,1972 PT,52.461822541929,4.6052764159432,"
Jacob van Heemskerkstraat 35 - 65 

",0255,1972,Verzetsheldenbuurt,Wijk 01 IJmuiden-Noord,IJmuiden,Velsen,Noord-Holland,
0,5623 AW,51.454353084214,5.4764407229202,"
Veldmaarschalk Montgomerylaan 719 - 781 

",040,5623,Kronehoef,Wijk 14 Stadsdeel Woensel-Zuid,Eindhoven,Eindhoven,Noord-Brabant,
0,3074 EB,51.898221083574,4.5104051343674,"
Beijerlandselaan 27 - 47 

",010,3074,Hillesluis,Feijenoord,Rotterdam,Rotterdam,Zuid-Holland,
0,2524 AZ,52.054578647473,4.317709096723,"
Van Zeggelenlaan 232 - 276 

",070,2524,Laakkwartier-West,Wijk 38 Laakkwartier en Spoorwijk,Den Haag,'s-Gravenhage,Zuid-Holland,
0,5041 AR,51.565183068516,5.088012555418,"
Schaepmanstraat 2 - 46 

",013,5041,Theresia Oost,Theresia,Tilburg,Tilburg,Noord-Brabant,
0,5664 GT,51.423978284899,5.5625335434137,"
Hofdael 162 - 214 

",040,5664,Centrum,Wijk 00 Geldrop,Geldrop,Geldrop-Mierlo,Noord-Brabant,
0,6131 HK,50.996168004312,5.8734664619949,"
Putstraat 51 - 97 

",046,6131,Sittard-Centrum,Wijk 01 Sittard,Sittard,Sittard-Geleen,Limburg,
0,5616 BW,51.436257145726,5.4632856536919,"
Graaf Adolfstraat 2 - 60 

",040,5616,"Eliasterrein, Vonderkwartier",Wijk 16 Stadsdeel Strijp,Eindhoven,Eindhoven,Noord-Brabant,
0,5104 KD,51.626370018976,4.9461822450123,"
Min. Ruys de Beerenbrouckstraat 1 - 27 

",0162,5104,Centrum,Dongen,Dongen,Dongen,Noord-Brabant,
0,8911 BD,53.199113722942,5.7890228392295,"
Westerkade 7 - 77 

",058,8911,Zaailand,Binnenstad,Leeuwarden,Leeuwarden,Friesland,
0,3062 HE,51.925356608784,4.5193444563818,"
Louise de Colignylaan 127 - 245 

",010,3062,Kralingen Oost,Kralingen-Crooswijk,Rotterdam,Rotterdam,Zuid-Holland,
0,2281 BD,52.059489581456,4.3382392027609,"
Caan van Necklaan 123 - 151 

",070,2281,Cromvliet,Wijk 01,Rijswijk,Rijswijk,Zuid-Holland,
0,3526 XX,52.072331802557,5.1046178673861,"
Jo Wüthrichlaan 1 - 55 

",030,3526,Transwijk-Zuid,Wijk 08 Zuidwest,Utrecht,Utrecht,Utrecht,
0,2517 VX,52.081969010021,4.2859417648777,"
Obrechtstraat 92 - 118 

",070,2517,Sweelinckplein en omgeving,Wijk 11 Duinoord,Den Haag,'s-Gravenhage,Zuid-Holland,
0,3085 HE,51.874535914325,4.4940346623119,"
Langenhorst 237 - 291 

",010,3085,Zuidwijk,Charlois,Rotterdam,Rotterdam,Zuid-Holland,
0,9711 LX,53.217957000855,6.5670773567766,"
Grote Markt 45 - 51 

",050,9711,Binnenstad-Zuid,Centrum,Groningen,Groningen,Groningen,
0,1075 XK,52.355268481141,4.854997438987,"
Amstelveenseweg 110 - 116 

",020,1075,Schinkelbuurt Noord,Schinkelbuurt,Amsterdam,Amsterdam,Noord-Holland,
0,5612 HZ,51.446240921025,5.4694360866204,"
Zernikestraat 1 - 130 

",040,5612,Limbeek-Noord,Wijk 14 Stadsdeel Woensel-Zuid,Eindhoven,Eindhoven,Noord-Brabant,
0,3772 PX,52.125401652684,5.5955273253952,"
Leghornlaan 1 - 166 

",0342,3772,Veller,Wijk 54 Barneveld,Barneveld,Barneveld,Gelderland,
0,4823 KB,51.625224571658,4.7360099438557,"
Overkroetenlaan 108 - 176 

",076,4823,Overkroeten,Breda Noord-West,Breda,Breda,Noord-Brabant,
0,5491 MG,51.571863678876,5.4468987435395,"
Beethovenstraat 1 - 15 

",0413,5491,Cathalijne en Kinderbos,Sint-Oedenrode,Sint-Oedenrode,Meierijstad,Noord-Brabant,
0,4382 LE,51.448503780226,3.5678689337014,"
Dokter Stavermanstraat 33 - 61 

",0118,4382,Stadhuisplein e.o.,Binnenstad,Vlissingen,Vlissingen,Zeeland,
0,7322 NK,52.222019432948,5.9932197762047,"
Kalmoesstraat 67 - 97 

",055,7322,De Mheen,Noordoost,Apeldoorn,Apeldoorn,Gelderland,
0,4817 KB,51.59120196096,4.7942492270154,"
St. Ignatiusstraat 45 - 81 

",076,4817,Brabantpark,Breda Oost,Breda,Breda,Noord-Brabant,
0,1071 CL,52.359151907249,4.8795745436635,"
Jan Luijkenstraat 37 - 47 

",020,1071,P.C. Hooftbuurt,Museumkwartier,Amsterdam,Amsterdam,Noord-Holland,
0,1082 XP,52.332351407871,4.8752615213002,"
Doddendaal 41 - 79 

",020,1082,Gelderlandpleinbuurt,Buitenveldert-West,Amsterdam,Amsterdam,Noord-Holland,
0,2562 KL,52.074781506861,4.2817043726123,"
Newtonstraat 345 - 393 

",070,2562,Koningsplein en omgeving,Wijk 21 Regentessekwartier,Den Haag,'s-Gravenhage,Zuid-Holland,
0,2582 VM,52.088659318153,4.2734999332685,"
Van Beverningkstraat 160 - 258 

",070,2582,Statenkwartier,Wijk 09 Geuzen- en Statenkwartier,Den Haag,'s-Gravenhage,Zuid-Holland,
0,5621 EA,51.455627709206,5.4595141971503,"
Musschenbroekstraat 1 - 37 

",040,5621,Woensel-West,Wijk 14 Stadsdeel Woensel-Zuid,Eindhoven,Eindhoven,Noord-Brabant,
0,9717 KA,53.228572939938,6.5565900724794,"
Koolstraat 1 - 15 

",050,9717,Noorderplantsoenbuurt,Oud-West,Groningen,Groningen,Groningen,
