,Postcode,latitude,longitude,Straat,Netnummer,Postcodenummer,Buurt,Wijk,Plaats,Gemeente,Provincie,Straten
0,6211 EA,50.849139627305,5.6897604300767,"
Leliestraat 3 - 30 

",043,6211,Binnenstad,Wijk 00 Centrum,Maastricht,Maastricht,Limburg,
0,7333 CV,52.189852635772,5.9649898535683,"
Schubertlaan 2 - 28 

",055,7333,Componistenkwartier,Zuid,Apeldoorn,Apeldoorn,Gelderland,
0,2106 AN,52.360077824624,4.6062207522528,"
Zandvoortselaan 138 - 156 

",023,2106,Dichters- en Vogelbuurt,Wijk 02 Heemstede west van de spoorbaan,Heemstede,Heemstede,Noord-Holland,
0,1012 BP,52.373158341586,4.8996415392972,"
Monnikenstraat 1 - 29 

",020,1012,Burgwallen Oost,Burgwallen-Oude Zijde,Amsterdam,Amsterdam,Noord-Holland,
0,1501 ND,52.439982926526,4.8258830715089,"
Oostkade 5 - 32 

",075,1501,Burgemeestersbuurt,Wijk 11 Zaandam Zuid,Zaandam,Zaanstad,Noord-Holland,
0,2611 BA,52.00600928181,4.3602610552694,"
Oude Delft 1 - 17 

",015,2611,Centrum-Zuidwest,Wijk 11 Binnenstad,Delft,Delft,Zuid-Holland,
0,5224 EV,51.695740925294,5.2509165915797,"
Admiraliteitslaan 828 - 900 

",073,5224,De Kruiskamp,West,'s-Hertogenbosch,'s-Hertogenbosch,Noord-Brabant,
0,2596 EH,52.092608466305,4.3227737316766,"
Johannes Bildersstraat 2 - 32 

",070,2596,Van Hoytemastraat en omgeving,Wijk 04 Benoordenhout,Den Haag,'s-Gravenhage,Zuid-Holland,
0,8226 AB,52.497468498979,5.4908209386884,"
Sont 2 - 70 

",0320,8226,Zeeenbuurt,Waterwijk,Lelystad,Lelystad,Flevoland,
0,7607 EC,52.357381981817,6.6641324622069,"
Hagengracht 1 - 25 

",0546,7607,Binnenstad-Noord,Wijk 10 Binnenstad,Almelo,Almelo,Overijssel,
0,5658 EB,51.440001734469,5.411374722789,"
Grasvink 1 - 59 

",040,5658,Grasrijk,Wijk 16 Stadsdeel Strijp,Eindhoven,Eindhoven,Noord-Brabant,
0,2406 DZ,52.129018245237,4.6637698292188,"
Samuel Aardewerksteeg 10 - 12 

",0172,2406,Van Boetzelaerstraat,Lage Zijde,Alphen aan den Rijn,Alphen aan den Rijn,Zuid-Holland,
0,3581 KR,52.09062111127,5.1339685264606,"
Burgemeester Reigerstraat 2 - 12 

",030,3581,Buiten Wittevrouwen,Wijk 05 Oost,Utrecht,Utrecht,Utrecht,
0,3543 KB,52.099791873829,5.0640816872953,"
Reykjavikstraat 2 - 600 

",030,3543,Leidsche Rijn-Centrum,Wijk 09 Leidsche Rijn,Utrecht,Utrecht,Utrecht,
0,2102 LC,52.346761318555,4.6247806786475,"
Waterhof 1 - 63 

",023,2102,"Heemsteedse Dreef, Schildersbuurt en omgeving",Wijk 00 Heemstede-Centrum,Heemstede,Heemstede,Noord-Holland,
0,1073 LJ,52.350159897299,4.9017389040388,"
Cornelis Springerstraat 14 - 24 

",020,1073,Burgemeester Tellegenbuurt Oost,Zuid Pijp,Amsterdam,Amsterdam,Noord-Holland,
0,1112 EM,52.338338462225,4.9537994453659,"
Bomenrijk 59 - 115 

",020,1112,Bomenrijk,Wijk 00 Diemen-Zuid,Diemen,Diemen,Noord-Holland,
0,1076 TN,52.347535381286,4.8604312325404,"
Sportstraat 1 - 13 

",020,1076,Marathonbuurt West,Stadionbuurt,Amsterdam,Amsterdam,Noord-Holland,
0,1813 CX,52.619478874896,4.7556221485086,"
Tuinderspad 1 - 157 

",072,1813,Oosterhout,Overdie,Alkmaar,Alkmaar,Noord-Holland,
0,1087 CN,52.356952721995,4.9935049285247,"
Tuinderspad 1 - 157 

",020,1087,Haveneiland Noordoost,IJburg West,Amsterdam,Amsterdam,Noord-Holland,"
Talbotstraat 5 - 19 

Maria Austriastraat 54 - 126 

"
0,2312 XV,52.162113237952,4.4930473651537,"
Oude Vest 99 - 121 

",071,2312,Marewijk,Binnenstad-Noord,Leiden,Leiden,Zuid-Holland,"
Talbotstraat 5 - 19 

Maria Austriastraat 54 - 126 

"
